CAS-RN,Formula,SMILES
50-11-3,C9H14N2O3,CCC1(CC)C(=O)NC(=O)N(C)C1=O
50-27-1,C18H24O3,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O
50-28-2,C18H24O2,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
50-29-3,C14H9Cl5,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
50-30-6,C7H4Cl2O2,OC(=O)c1c(Cl)cccc1Cl
50-31-7,C7H3Cl3O2,OC(=O)c1c(Cl)ccc(Cl)c1Cl
50-32-8,C20H12,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
50-50-0,C25H28O3,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2O
50-53-3,C17H19ClN2S,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
50-71-5,C4H2N2O4,O=C1NC(=O)C(=O)C(=O)N1
50-84-0,C7H4Cl2O2,OC(=O)c1ccc(Cl)cc1Cl
51-12-7,C16H18N4O2,O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2
51-28-5,C6H4N2O5,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
51-36-5,C7H4Cl2O2,OC(=O)c1cc(Cl)cc(Cl)c1
51-44-5,C7H4Cl2O2,OC(=O)c1ccc(Cl)c(Cl)c1
51-45-6,C5H9N3,NCCc1[nH]cnc1
51-61-6,C8H11NO2,NCCc1ccc(O)c(O)c1
51-66-1,C9H11NO2,COc1ccc(NC(C)=O)cc1
51-75-2,C5H11Cl2N,CN(CCCl)CCCl
51-90-1,CO2,O=[14C]=O
51-98-9,C22H28O3,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
52-01-7,C24H32O4S,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13
52-31-3,C12H16N2O3,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
